contig,contrast,logFC,logCPM,LR,PValue,FDR,Accession,Fullname,Altnames,Pfam,GO,CellularComponent,Molecular.Function,Biological.Process
contig-60_61214,binary.seasonlate.and.fall,6.233332661,4.160205046,16.88315591,3.98E-05,0.000783752,,,, , , , , 
contig-60_1860789,binary.seasonlate.and.fall,6.235729332,4.367674185,27.09685232,1.94E-07,8.31E-06,,,, , , , , 
contig-60_57683,binary.seasonlate.and.fall,6.248816454,4.80332894,18.67931733,1.55E-05,0.000332206,,,, , , , , 
contig-60_2887871,binary.seasonlate.and.fall,6.259815276,6.243297526,22.90301326,1.70E-06,4.73E-05,,,, , , , , 
contig-60_533153,binary.seasonlate.and.fall,6.26422163,4.440327177,19.39527131,1.06E-05,0.000235964,,,, , , , , 
contig-60_4019,binary.seasonlate.and.fall,6.265090781,4.978820908,24.80439796,6.35E-07,2.12E-05,P44804,ATP-dependent DNA helicase Rep {ECO:0000255|HAMAP-Rule:MF_01920},, PF00580;PF13361;, GO:0008408;GO:0005524;GO:0043140;GO:0003697;GO:0006268;, ,  F:3'-5' exonuclease activity; F:ATP binding; F:ATP-dependent 3'-5' DNA helicase activity; F:single-stranded DNA binding;,  P:DNA unwinding involved in DNA replication;
contig-60_15398,binary.seasonlate.and.fall,6.271256539,4.296594716,24.18439896,8.75E-07,2.74E-05,P11112 Q9T0U7,Tail completion protein gp15 {ECO:0000305},Gene product 15;Tail connector protein 15 {ECO:0000305};Tail terminator protein {ECO:0000305};, PF16724;, GO:0019012;,  C:virion;, , 
contig-60_346670,binary.seasonlate.and.fall,6.271261716,4.255038227,28.36111593,1.01E-07,5.01E-06,,,, , , , , 
contig-60_3767,binary.seasonlate.and.fall,6.275653693,6.58993396,21.93743388,2.82E-06,7.28E-05,Q58516,Putative asparagine synthetase [glutamine-hydrolyzing] 1,, PF00733;, GO:0005829;GO:0004066;GO:0005524;GO:0006541;GO:0070981;,  C:cytosol;,  F:asparagine synthase (glutamine-hydrolyzing) activity; F:ATP binding;,  P:glutamine metabolic process; P:L-asparagine biosynthetic process;
contig-60_37493,binary.seasonlate.and.fall,6.283855246,4.352627552,27.80365228,1.34E-07,6.32E-06,,,, , , , , 
contig-60_1707454,binary.seasonlate.and.fall,6.286815877,4.663843897,14.48826392,0.000141035,0.002509622,,,, , , , , 
contig-60_2155,binary.seasonlate.and.fall,6.291750755,5.024042827,17.13746551,3.48E-05,0.000694674,,,, , , , , 
contig-60_1769157,binary.seasonlate.and.fall,6.297119299,4.69915196,14.63455752,0.0001305,0.002341155,,,, , , , , 
contig-60_842448,binary.seasonlate.and.fall,6.299706422,4.183086706,20.5198139,5.90E-06,0.000139443,,,, , , , , 
contig-60_4160,binary.seasonlate.and.fall,6.304038117,6.745321598,14.33569802,0.000152937,0.002703836,Q196V1,Putative helicase 109L,, PF04851;, GO:0005524;GO:0003677;GO:0004386;, ,  F:ATP binding; F:DNA binding; F:helicase activity;, 
contig-60_12230,binary.seasonlate.and.fall,6.30702791,5.542701407,14.53697548,0.000137435,0.002456201,P29538,Modification methylase HpaI,Adenine-specific methyltransferase HpaI;, PF01555;, GO:0003677;GO:0008170;GO:0009007;GO:0009307;, ,  F:DNA binding; F:N-methyltransferase activity; F:site-specific DNA-methyltransferase (adenine-specific) activity;,  P:DNA restriction-modification system;
contig-60_53908,binary.seasonlate.and.fall,6.308089142,5.864497666,26.77632235,2.28E-07,9.43E-06,P00244,Ferredoxin-1,Ferredoxin I;, PF00111;, GO:0051537;GO:0009055;GO:0046872;, ,"  F:2 iron, 2 sulfur cluster binding; F:electron transfer activity; F:metal ion binding;", 
contig-60_5991,binary.seasonlate.and.fall,6.308414182,4.720350653,18.72610069,1.51E-05,0.000325005,,,, , , , , 
contig-60_1599864,binary.seasonlate.and.fall,6.315022837,4.417103512,21.93892138,2.81E-06,7.28E-05,Q0I7J2,Photosystem II protein D1 1 {ECO:0000255|HAMAP-Rule:MF_01379},Photosystem II Q(B) protein 1 {ECO:0000255|HAMAP-Rule:MF_01379};, PF00124;, GO:0016021;GO:0009523;GO:0042651;GO:0016168;GO:0045156;GO:0005506;GO:0016682;GO:0009772;GO:0018298;GO:0009635;,  C:integral component of membrane; C:photosystem II; C:thylakoid membrane;,"  F:chlorophyll binding; F:electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; F:iron ion binding; F:oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor;",  P:photosynthetic electron transport in photosystem II; P:protein-chromophore linkage; P:response to herbicide;
contig-60_5480,binary.seasonlate.and.fall,6.317957254,4.955180843,20.91588125,4.80E-06,0.000115741,,,, , , , , 
contig-60_3490,binary.seasonlate.and.fall,6.318123114,5.340830733,17.68384344,2.61E-05,0.000536118,,,, , , , , 
contig-60_289029,binary.seasonlate.and.fall,6.322937928,3.844454443,22.8712216,1.73E-06,4.78E-05,,,, , , , , 
contig-60_3340749,binary.seasonlate.and.fall,6.323559836,4.823908243,12.58514554,0.000388825,0.006351449,,,, , , , , 
contig-60_3720,binary.seasonlate.and.fall,6.324949918,4.924481627,21.23292699,4.07E-06,9.97E-05,,,, , , , , 
contig-60_1822217,binary.seasonlate.and.fall,6.326981231,5.877632102,16.04303847,6.19E-05,0.001184532,,,, , , , , 
contig-60_96280,binary.seasonlate.and.fall,6.329330914,4.204524971,23.40776679,1.31E-06,3.83E-05,,,, , , , , 
contig-60_152109,binary.seasonlate.and.fall,6.336646332,4.663774414,25.58550306,4.23E-07,1.51E-05,,,, , , , , 
contig-60_23655,binary.seasonlate.and.fall,6.336950366,4.193470179,19.35214046,1.09E-05,0.000240893,P04522,Exonuclease subunit 2,Gene product 46;, PF13476;, GO:0005524;GO:0003677;GO:0004527;GO:0099015;GO:0006281;GO:0039657;, ,  F:ATP binding; F:DNA binding; F:exonuclease activity;,  P:degradation of host chromosome by virus; P:DNA repair; P:suppression by virus of host gene expression;
contig-60_737793,binary.seasonlate.and.fall,6.346724945,4.40189174,22.99760588,1.62E-06,4.56E-05,Q9CXC3 A2ANA5 Q3TIC0 Q543Z8,Mitochondrial genome maintenance exonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03030},, PF12705;, GO:0005739;GO:0008297;GO:0043504;GO:0006264;GO:0000002;,  C:mitochondrion;,  F:single-stranded DNA exodeoxyribonuclease activity;,  P:mitochondrial DNA repair; P:mitochondrial DNA replication; P:mitochondrial genome maintenance;
contig-60_188208,binary.seasonlate.and.fall,6.349804008,4.052276104,29.65693292,5.16E-08,3.15E-06,,,, , , , , 
contig-60_951778,binary.seasonlate.and.fall,6.35743929,5.017991361,12.24228633,0.000467185,0.007479064,,,, , , , , 
contig-60_74871,binary.seasonlate.and.fall,6.360026468,4.926545169,20.7807574,5.15E-06,0.000123093,,,, , , , , 
contig-60_335913,binary.seasonlate.and.fall,6.36207702,4.240958778,14.00498355,0.000182327,0.003182342,,,, , , , , 
contig-60_261920,binary.seasonlate.and.fall,6.367525105,4.674727182,19.08196738,1.25E-05,0.000273823,,,, , , , , 
contig-60_6275869,binary.seasonlate.and.fall,6.367914044,4.506242615,10.59796561,0.001132122,0.016442028,,,, , , , , 
contig-60_1883869,binary.seasonlate.and.fall,6.372688007,4.474076003,13.94426086,0.000188312,0.003272899,,,, , , , , 
contig-60_6296057,binary.seasonlate.and.fall,6.373993185,4.720268679,14.96520449,0.000109512,0.00199072,,,, , , , , 
contig-60_4530522,binary.seasonlate.and.fall,6.39770389,4.348492554,22.5342389,2.06E-06,5.56E-05,P18147,DNA-directed RNA polymerase,, PF00940;PF14700;, GO:0003677;GO:0003899;GO:0006351;GO:0019083;, ,  F:DNA binding; F:DNA-directed 5'-3' RNA polymerase activity;,"  P:transcription, DNA-templated; P:viral transcription;"
contig-60_151896,binary.seasonlate.and.fall,6.39968537,5.061516381,23.92324037,1.00E-06,3.04E-05,Q57664,Putative UDP-glucose 4-epimerase,Galactowaldenase;UDP-galactose 4-epimerase;, PF01370;, GO:0050662;GO:0003978;GO:0006012;, ,  F:coenzyme binding; F:UDP-glucose 4-epimerase activity;,  P:galactose metabolic process;
contig-60_35940,binary.seasonlate.and.fall,6.409976959,4.386510159,19.80563068,8.57E-06,0.000195259,,,, , , , , 
contig-60_619696,binary.seasonlate.and.fall,6.410373979,4.784160691,22.50947745,2.09E-06,5.61E-05,A5GTY4,Photosystem II protein D1 1 {ECO:0000255|HAMAP-Rule:MF_01379},Photosystem II Q(B) protein 1 {ECO:0000255|HAMAP-Rule:MF_01379};, PF00124;, GO:0016021;GO:0009523;GO:0042651;GO:0016168;GO:0045156;GO:0005506;GO:0016682;GO:0009772;GO:0018298;GO:0009635;,  C:integral component of membrane; C:photosystem II; C:thylakoid membrane;,"  F:chlorophyll binding; F:electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; F:iron ion binding; F:oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor;",  P:photosynthetic electron transport in photosystem II; P:protein-chromophore linkage; P:response to herbicide;
contig-60_966397,binary.seasonlate.and.fall,6.410836943,4.490437604,25.20234977,5.16E-07,1.78E-05,P43754,Ribonucleoside-diphosphate reductase subunit alpha,Ribonucleotide reductase;, PF03477;PF02867;PF00317;, GO:0005971;GO:0005524;GO:0004748;GO:0009263;GO:0006260;,  C:ribonucleoside-diphosphate reductase complex;,"  F:ATP binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication;
contig-60_7557,binary.seasonlate.and.fall,6.42178444,4.241532725,22.98190813,1.64E-06,4.57E-05,P03692,DNA primase/helicase,Gene product 4;, PF03796;PF08273;, GO:0005524;GO:0003678;GO:0003896;GO:0008270;, ,  F:ATP binding; F:DNA helicase activity; F:DNA primase activity; F:zinc ion binding;, 
contig-60_189,binary.seasonlate.and.fall,6.42202279,6.362294513,23.69696764,1.13E-06,3.35E-05,,,, , , , , 
contig-60_27520,binary.seasonlate.and.fall,6.42990678,5.45827476,21.40475355,3.72E-06,9.27E-05,,,, , , , , 
contig-60_49275,binary.seasonlate.and.fall,6.431407197,6.012298084,17.20876028,3.35E-05,0.000671534,P03728,"Portal protein {ECO:0000255|HAMAP-Rule:MF_04120, ECO:0000305}","Gene product 8 {ECO:0000305};Head-to-tail connector {ECO:0000255|HAMAP-Rule:MF_04120, ECO:0000305};", PF12236;, GO:0046798;GO:0019073;GO:0099002;,  C:viral portal complex;, ,"  P:viral DNA genome packaging; P:viral genome ejection through host cell envelope, short tail mechanism;"
contig-60_97298,binary.seasonlate.and.fall,6.431439654,4.733699033,25.12486361,5.37E-07,1.85E-05,O41156,Probable flavin-dependent thymidylate synthase {ECO:0000250|UniProtKB:Q9WYT0},FAD-dependent thymidylate synthase {ECO:0000250|UniProtKB:Q9WYT0};, PF02511;, GO:0050660;GO:0050797;GO:0006231;GO:0006235;, ,  F:flavin adenine dinucleotide binding; F:thymidylate synthase (FAD) activity;,  P:dTMP biosynthetic process; P:dTTP biosynthetic process;
contig-60_3558,binary.seasonlate.and.fall,6.431651239,4.747021619,24.00262248,9.62E-07,2.94E-05,,,, , , , , 
contig-60_3028442,binary.seasonlate.and.fall,6.435416355,4.076154731,24.10683632,9.11E-07,2.83E-05,Q6H952,Photosystem II D2 protein,Photosystem Q(A) protein;, PF00124;, GO:0044160;GO:0016021;GO:0016168;GO:0045156;GO:0046872;GO:0009772;GO:0018298;,  C:host thylakoid membrane; C:integral component of membrane;,"  F:chlorophyll binding; F:electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; F:metal ion binding;",  P:photosynthetic electron transport in photosystem II; P:protein-chromophore linkage;
contig-60_42899,binary.seasonlate.and.fall,6.436343568,3.798588546,28.05715883,1.18E-07,5.71E-06,P19822 Q38546 Q5DMI1 Q66LU3 Q6QGG5,DNA polymerase {ECO:0000255|RuleBase:RU004460},, PF00476;PF01612;, GO:0008408;GO:0003677;GO:0003887;GO:0006261;GO:0039693;, ,  F:3'-5' exonuclease activity; F:DNA binding; F:DNA-directed DNA polymerase activity;,  P:DNA-dependent DNA replication; P:viral DNA genome replication;
contig-60_11105,binary.seasonlate.and.fall,6.43832212,5.505390212,15.3497577,8.93E-05,0.001651293,P35470,60 kDa chaperonin 2 {ECO:0000255|HAMAP-Rule:MF_00600},GroEL protein 2 {ECO:0000255|HAMAP-Rule:MF_00600};Protein Cpn60 2 {ECO:0000255|HAMAP-Rule:MF_00600};, PF00118;, GO:0005737;GO:0005524;GO:0051082;GO:0042026;,  C:cytoplasm;,  F:ATP binding; F:unfolded protein binding;,  P:protein refolding;
contig-60_498521,binary.seasonlate.and.fall,6.439995843,4.266180384,24.66388414,6.83E-07,2.25E-05,,,, , , , , 
contig-60_6392879,binary.seasonlate.and.fall,6.440046606,4.35090844,19.81086517,8.55E-06,0.000194861,,,, , , , , 
contig-60_1807058,binary.seasonlate.and.fall,6.440388612,4.068952261,17.25976618,3.26E-05,0.000655746,Q05247,Gene 37 protein,Gp37;, PF03819;, , , , 
contig-60_31670,binary.seasonlate.and.fall,6.449075233,4.448771861,32.98018752,9.31E-09,1.12E-06,Q54MB4,Probable asparagine synthetase [glutamine-hydrolyzing],Glutamine-dependent asparagine synthetase;, PF00733;PF13537;, GO:0005829;GO:0045335;GO:0004066;GO:0005524;GO:0042803;GO:0006529;GO:0006541;GO:0070981;,  C:cytosol; C:phagocytic vesicle;,  F:asparagine synthase (glutamine-hydrolyzing) activity; F:ATP binding; F:protein homodimerization activity;,  P:asparagine biosynthetic process; P:glutamine metabolic process; P:L-asparagine biosynthetic process;
contig-60_1811,binary.seasonlate.and.fall,6.459611414,5.066901846,32.21946311,1.38E-08,1.34E-06,P56727 P46803,Uncharacterized protein TM_0929,, PF09967;PF13203;, , , , 
contig-60_58258,binary.seasonlate.and.fall,6.464067023,4.008733173,21.69949342,3.19E-06,8.11E-05,,,, , , , , 
contig-60_60761,binary.seasonlate.and.fall,6.46501152,4.298685112,24.01369673,9.57E-07,2.93E-05,,,, , , , , 
contig-60_2836247,binary.seasonlate.and.fall,6.470424713,4.130969124,29.84935593,4.67E-08,2.96E-06,,,, , , , , 
contig-60_33916,binary.seasonlate.and.fall,6.478497684,5.710393573,22.2572175,2.38E-06,6.31E-05,,,, , , , , 
contig-60_271815,binary.seasonlate.and.fall,6.478668299,4.888263313,19.35404282,1.09E-05,0.000240816,,,, , , , , 
contig-60_530455,binary.seasonlate.and.fall,6.479678546,4.246946454,19.87811344,8.25E-06,0.000188779,P43754,Ribonucleoside-diphosphate reductase subunit alpha,Ribonucleotide reductase;, PF03477;PF02867;PF00317;, GO:0005971;GO:0005524;GO:0004748;GO:0009263;GO:0006260;,  C:ribonucleoside-diphosphate reductase complex;,"  F:ATP binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication;
contig-60_526264,binary.seasonlate.and.fall,6.483739441,4.646876284,27.08430865,1.95E-07,8.35E-06,,,, , , , , 
contig-60_17722,binary.seasonlate.and.fall,6.484483994,4.29196373,17.64603784,2.66E-05,0.000546198,Q58YV9 Q5JBG3,O-antigen biosynthesis glycosyltransferase WbnK {ECO:0000305},"GDP-Fuc:beta-D-Gal-1,3-alpha-D-GalNAc-1,3-alpha-GalNAc-diphosphoundecaprenol alpha-1,2-fucosyltransferase {ECO:0000305};", PF01531;, GO:0016020;GO:0008107;GO:0009243;,  C:membrane;,  F:galactoside 2-alpha-L-fucosyltransferase activity;,  P:O antigen biosynthetic process;
contig-60_5303128,binary.seasonlate.and.fall,6.48608251,11.59231448,10.04259398,0.001529617,0.021247835,,,, , , , , 
contig-60_1175468,binary.seasonlate.and.fall,6.489542462,4.113819346,21.31470337,3.90E-06,9.65E-05,Q6WI70,DNA-directed DNA polymerase {ECO:0000255|HAMAP-Rule:MF_04100},Gene product 43;, PF00136;PF03104;, GO:0008408;GO:0003677;GO:0003887;GO:0046872;GO:0000166;GO:0039686;GO:0006260;, ,  F:3'-5' exonuclease activity; F:DNA binding; F:DNA-directed DNA polymerase activity; F:metal ion binding; F:nucleotide binding;,  P:bidirectional double-stranded viral DNA replication; P:DNA replication;
contig-60_1319677,binary.seasonlate.and.fall,6.491212496,4.505983237,23.99336364,9.67E-07,2.95E-05,,,, , , , , 
contig-60_15474,binary.seasonlate.and.fall,6.492480701,4.011157393,23.22839305,1.44E-06,4.14E-05,P04415,DNA-directed DNA polymerase {ECO:0000255|HAMAP-Rule:MF_04100},Gene product 43;, PF00136;PF03104;, GO:0008408;GO:0003677;GO:0003887;GO:0046872;GO:0000166;GO:0039686;GO:0006260;, ,  F:3'-5' exonuclease activity; F:DNA binding; F:DNA-directed DNA polymerase activity; F:metal ion binding; F:nucleotide binding;,  P:bidirectional double-stranded viral DNA replication; P:DNA replication;
contig-60_1541612,binary.seasonlate.and.fall,6.494318242,9.340052178,13.60850532,0.000225163,0.003858295,,,, , , , , 
contig-60_365759,binary.seasonlate.and.fall,6.49942711,4.900239688,20.79124889,5.12E-06,0.000122509,,,, , , , , 
contig-60_44894,binary.seasonlate.and.fall,6.500835734,3.549748195,24.29780213,8.25E-07,2.61E-05,,,, , , , , 
contig-60_2768,binary.seasonlate.and.fall,6.511085471,5.353910466,18.44845408,1.75E-05,0.000372543,,,, , , , , 
contig-60_7846,binary.seasonlate.and.fall,6.51189077,4.454769944,24.16931716,8.82E-07,2.76E-05,,,, , , , , 
contig-60_16460,binary.seasonlate.and.fall,6.51219269,5.00466763,28.44811227,9.62E-08,4.91E-06,P13332 Q9T0U3,Tail sheath protein,Gene product 18;, PF04984;PF17482;PF17481;, GO:0019012;GO:0098027;GO:0099000;,"  C:virion; C:virus tail, sheath;", ,"  P:viral genome ejection through host cell envelope, contractile tail mechanism;"
contig-60_3510,binary.seasonlate.and.fall,6.516151806,4.065810655,22.54188155,2.06E-06,5.55E-05,O41156,Probable flavin-dependent thymidylate synthase {ECO:0000250|UniProtKB:Q9WYT0},FAD-dependent thymidylate synthase {ECO:0000250|UniProtKB:Q9WYT0};, PF02511;, GO:0050660;GO:0050797;GO:0006231;GO:0006235;, ,  F:flavin adenine dinucleotide binding; F:thymidylate synthase (FAD) activity;,  P:dTMP biosynthetic process; P:dTTP biosynthetic process;
contig-60_42851,binary.seasonlate.and.fall,6.516500279,5.19329205,25.27860286,4.96E-07,1.73E-05,,,, , , , , 
contig-60_20028,binary.seasonlate.and.fall,6.517190591,3.433319321,18.28636855,1.90E-05,0.000403266,,,, , , , , 
contig-60_85767,binary.seasonlate.and.fall,6.519297393,4.147965311,20.42194569,6.21E-06,0.000146233,,,, , , , , 
contig-60_2499557,binary.seasonlate.and.fall,6.523451708,5.191586187,23.75377801,1.09E-06,3.27E-05,P20315,DNA primase/helicase,, PF03796;, GO:0005524;GO:0003678;GO:0003896;GO:0008270;, ,  F:ATP binding; F:DNA helicase activity; F:DNA primase activity; F:zinc ion binding;, 
contig-60_1206347,binary.seasonlate.and.fall,6.524069081,3.941961402,26.72099628,2.35E-07,9.64E-06,P04529 Q9MBK8,Recombination and repair protein,, PF00154;, GO:0005524;GO:0008094;GO:0003697;GO:0006310;GO:0006281;GO:0006260;, ,  F:ATP binding; F:DNA-dependent ATPase activity; F:single-stranded DNA binding;,  P:DNA recombination; P:DNA repair; P:DNA replication;
contig-60_4502,binary.seasonlate.and.fall,6.528404354,5.572159523,17.4875916,2.89E-05,0.000588878,B5X582 Q8GUI8 Q9SA83,"Twinkle homolog protein, chloroplastic/mitochondrial",DNA helicase;DNA primase;, PF03796;PF13662;, GO:0009507;GO:0005739;GO:0005524;GO:0004003;GO:0003896;GO:0046872;GO:0003697;GO:0009260;,  C:chloroplast; C:mitochondrion;,  F:ATP binding; F:ATP-dependent DNA helicase activity; F:DNA primase activity; F:metal ion binding; F:single-stranded DNA binding;,  P:ribonucleotide biosynthetic process;
contig-60_7634,binary.seasonlate.and.fall,6.531022866,5.675057898,19.74345681,8.86E-06,0.000200465,,,, , , , , 
contig-60_8654,binary.seasonlate.and.fall,6.532814056,4.425102347,19.92548934,8.05E-06,0.000184544,P13390 O48502 Q5DMH0 Q66LT2,L-shaped tail fiber protein pb1 {ECO:0000303|PubMed:24198424},Tail protein pb1 {ECO:0000303|PubMed:24198424};, , GO:0098024;GO:0008236;GO:0098671;GO:0039638;GO:0046718;,"  C:virus tail, fiber;",  F:serine-type peptidase activity;,  P:adhesion receptor-mediated virion attachment to host cell; P:lipopolysaccharide-mediated virion attachment to host cell; P:viral entry into host cell;
